Location,Date and Time,Coordinates,Magnitude and Depth,Event Type,ID,Source
M: 4.3 - Bay of Bengal,2024-09-23 08:20:13 IST,"10.87, 91.58","Magnitude: M: 4.3, Depth: D: 10km",Reviewed,cTE2QkxRNGNZMXB2U1BCZmlSZzhNQT09,RISEQ
M: 3.5 - Xizang,2024-09-23 06:15:50 IST,"32.62, 81.92","Magnitude: M: 3.5, Depth: D: 120km",Reviewed,ZFkzc3Z1Q1hybkZVSXJMSDJYeHVWZz09,RISEQ
M: 3.5 - Myanmar,2024-09-22 22:14:54 IST,"23.68, 94.16","Magnitude: M: 3.5, Depth: D: 90km",Reviewed,OTFEZk40ODZoODVSWEtYYXhGaS95dz09,RISEQ
M: 1.9 - Southwest Delhi,2024-09-22 07:20:01 IST,"28.54, 76.92","Magnitude: M: 1.9, Depth: D: 2km",Reviewed,WG8zQWJ3c2FvbU8wYnNlRmZnaU44Zz09,RISEQ
M: 4.0 - Tajikistan,2024-09-22 04:50:57 IST,"37.26, 72.07","Magnitude: M: 4.0, Depth: D: 114km",Reviewed,bnhZRVc3Zi9hMFJWS2xGcGZ6c3BHQT09,RISEQ
M: 4.1 - Bay of Bengal,2024-09-22 00:12:24 IST,"10.83, 91.54","Magnitude: M: 4.1, Depth: D: 10km",Reviewed,VlNsRzZNWlJMVjFXbDRaZFRQUXhUUT09,RISEQ
M: 4.1 - Xizang,2024-09-21 22:28:12 IST,"31.82, 88.21","Magnitude: M: 4.1, Depth: D: 180km",Reviewed,amR6VU9iOEVDNm56OGR6N2hieUN1QT09,RISEQ
M: 4.3 - Bay of Bengal,2024-09-21 22:11:50 IST,"11.73, 91.23","Magnitude: M: 4.3, Depth: D: 10km",Reviewed,MENBZkNJemJjOG41Z0dHU1dPR05Rdz09,RISEQ
"M: 3.1 - Mangan, Sikkim",2024-09-21 21:12:27 IST,"27.77, 88.26","Magnitude: M: 3.1, Depth: D: 49km",Reviewed,YXp6eWwxR0NJRjMwZDR6ZGZWeno4QT09,RISEQ
M: 4.7 - Pakistan,2024-09-21 20:12:45 IST,"36.12, 71.34","Magnitude: M: 4.7, Depth: D: 90km",Reviewed,blFveFg0N25NNmVlSjJQY1F3cUdVdz09,RISEQ
"M: 2.8 - Rohtak, Haryana",2024-09-21 17:14:23 IST,"28.92, 76.74","Magnitude: M: 2.8, Depth: D: 5.0km",Reviewed,YUJzbnZtc0wreHRvWlY5MnZFU2JIZz09,RISEQ
"M: 2.8 - WEST KAMENG, ARUNACHAL PRADESH",2024-09-21 14:13:01 IST,"27.00, 92.57","Magnitude: M: 2.8, Depth: D: 16km",Reviewed,bEdkYlF5ZEpKN3FhdG42R21HM3RIZz09,RISEQ
M: 3.5 - Myanmar,2024-09-20 23:18:17 IST,"24.72, 94.77","Magnitude: M: 3.5, Depth: D: 80km",Reviewed,Rk04UEp1aVpnZnRVZE9Bd1YvbGFmQT09,RISEQ
"M: 2.6 - Chamoli, Uttarakhand",2024-09-20 13:32:22 IST,"30.27, 79.57","Magnitude: M: 2.6, Depth: D: 5km",Reviewed,eW1kenRqT2R0a2JmQ1pvU0xvVVVYdz09,RISEQ
"M: 4.4 - Northern Sumatra, Indonesia",2024-09-19 21:44:13 IST,"0.86, 98.93","Magnitude: M: 4.4, Depth: D: 34km",Reviewed,WGRwY2hvblVRelVMNmd5dVZZNitlZz09,RISEQ
"M: 3.4 - East Jaintia Hills, Meghalaya",2024-09-19 16:07:34 IST,"25.22, 92.42","Magnitude: M: 3.4, Depth: D: 10km",Reviewed,U3Q4VlVtK0t0MUY1dUhyYWFsTjRydz09,RISEQ
M: 5.1 - Bay of Bengal,2024-09-19 10:50:57 IST,"10.54, 91.69","Magnitude: M: 5.1, Depth: D: 10km",Reviewed,SlAwaGlNVTQzOURIbGtKWHBhdWdDZz09,RISEQ
M: 3.9 - Afghanistan,2024-09-19 01:53:35 IST,"37.37, 71.22","Magnitude: M: 3.9, Depth: D: 150km",Reviewed,aVF0YjVLRzR5UTZ5MjBZbytSRkkzQT09,RISEQ
M: 4.5 - Tajikistan,2024-09-19 01:44:17 IST,"37.67, 71.78","Magnitude: M: 4.5, Depth: D: 180km",Reviewed,amhmR3EzVXRoWi9pT2IrcG5XVlVmZz09,RISEQ
M: 4.6 - Tajikistan,2024-09-19 01:22:05 IST,"37.52, 71.76","Magnitude: M: 4.6, Depth: D: 150km",Reviewed,dzdNVGM4cHBwMmRZSnVKMFpHUmhpUT09,RISEQ
"M: 3.1 - Jaisalmer, Rajasthan",2024-09-19 00:38:22 IST,"26.47, 71.24","Magnitude: M: 3.1, Depth: D: 5km",Reviewed,Vks2dkUxdHArQ09HU0xPdXZTYm4zQT09,RISEQ
M: 4.2 - Afghanistan,2024-09-18 13:13:06 IST,"37.35, 69.81","Magnitude: M: 4.2, Depth: D: 278km",Reviewed,RGpPbFdPNGs4NzBYWmJjR3hiOFRxQT09,RISEQ
M: 3.5 - Nepal,2024-09-18 09:53:09 IST,"29.34, 80.91","Magnitude: M: 3.5, Depth: D: 10km",Reviewed,b3NnYUFPMGhKMVdqNTdVanRxQ1FZQT09,RISEQ
"M: 2.7 - Anantnag, Jammu and Kashmir",2024-09-18 02:04:44 IST,"33.70, 75.53","Magnitude: M: 2.7, Depth: D: 5km",Reviewed,VkRmYm1VZUJlWHhpZjBPZlBUeGdOUT09,RISEQ
M: 3.9 - Bay of Bengal,2024-09-18 01:32:10 IST,"12.86, 92.43","Magnitude: M: 3.9, Depth: D: 29km",Reviewed,YUc4NkNqTDZnVkx6dDIvaG9yY0p1QT09,RISEQ
"M: 1.8 - Chamoli, Uttarakhand",2024-09-17 22:25:05 IST,"30.24, 79.40","Magnitude: M: 1.8, Depth: D: 5km",Reviewed,ZFdoOXg1d1VZWXN5c2t1Vkx4RTZSQT09,RISEQ
M: 4.7 - Tajikistan,2024-09-17 19:58:09 IST,"37.30, 72.13","Magnitude: M: 4.7, Depth: D: 180km",Reviewed,bElEV0NQTjZFRmI0M1FZZ1QremVLZz09,RISEQ
M: 3.3 - Nepal,2024-09-17 16:46:57 IST,"27.75, 86.78","Magnitude: M: 3.3, Depth: D: 5km",Reviewed,Q2JjRTRDNnIwWFpJYnZIVklrSkYxUT09,RISEQ
M: 4.8 - Bay of Bengal,2024-09-17 09:53:01 IST,"9.15, 90.51","Magnitude: M: 4.8, Depth: D: 10km",Reviewed,NXhWSUxwcWVQOFpsY1dZdFplMk80Zz09,RISEQ
"M: 3.4 - Kargil, Ladakh",2024-09-17 00:31:03 IST,"34.16, 76.46","Magnitude: M: 3.4, Depth: D: 10km",Reviewed,UmpxeGlMb0oxTFM4cGlTVy9WMTE4UT09,RISEQ
"M: 2.7 - Karbi Anglong, Assam",2024-09-16 15:44:45 IST,"26.22, 92.93","Magnitude: M: 2.7, Depth: D: 5km",Reviewed,OUdOR0ZIeW14Y0xHZ2J0d0tvK0VFdz09,RISEQ
"M: 3.5 - Bichom, Arunachal Pradesh",2024-09-16 04:14:20 IST,"27.60, 92.73","Magnitude: M: 3.5, Depth: D: 5km",Reviewed,WDNtenoyblpsUVY4LzMyVmpXRGgwdz09,RISEQ
M: 4.3 - Myanmar,2024-09-15 19:47:08 IST,"22.76, 93.97","Magnitude: M: 4.3, Depth: D: 122km",Reviewed,SGJVb0ZPaytuSC9tY0tlTU5HaDBQUT09,RISEQ
M: 3.6 - Myanmar,2024-09-15 13:25:32 IST,"24.82, 94.98","Magnitude: M: 3.6, Depth: D: 120km",Reviewed,c3ZTYlNzbEY3cEpyc24rbkZHUnloZz09,RISEQ
M: 3.9 - Tajikistan,2024-09-15 08:21:27 IST,"37.76, 72.63","Magnitude: M: 3.9, Depth: D: 10km",Reviewed,SUhqT1c0ck9NcDJvUU5ZS2RVUXNaZz09,RISEQ
"M: 4.8 - Northern Sumatra, Indonesia",2024-09-15 03:07:37 IST,"1.98, 99.08","Magnitude: M: 4.8, Depth: D: 115km",Reviewed,SW80OFN5K2JpVmd6SjRzQ0h2TGlUUT09,RISEQ
